iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
NLD,Netherlands,2021,,,,,,,,,9.645,678.387,,,,,,325,13.395,,,,,942.172,,,,121.1,11.65,16.18,75.61,53.86,0.1,3.76,5.57,0,11.65,41.42,11.5,18.17,120.79,,,,,,,,4402.818,62.596,,44.59,,,,,3136.301,,,,0.083,,,,,5.823,,37.404,45.18,2630.86,,,,,,0.256,0.31,3.113,,,,,218.947,,4.611,,,,,324.345,,,,0,678.387,,,,,0,9.645,,7033.677,17173094,,2411.912,34.291,,,,,,9.521,,,,,669.652,,15.043,,,,,1058.05,
MKD,North Macedonia,2021,,,,,,,,,1.161,28.809,,,,,,,34.816,,,,,864.279,,,,7.71,0.06,1.8,2.82,0.96,2.21,0,0.06,0,0.06,2.35,0.02,0.06,5.17,,,,,,,,1354.036,54.545,,18.569,,,,,460.949,,,,42.747,,,,,1061.142,,45.455,2.35,1128.364,,,,,,32.944,2.54,0,,,,,0,,1.161,,,,,28.809,,,,0,28.809,,,,,0,1.161,,2482.4,2082662,,1128.364,45.455,,,,,,0.387,,,,,9.603,,1.161,,,,,28.809,
NOR,Norway,2021,,,,,,,,,0.168,45.74,,,,,,,0.027,,,,,7.318,,,,131.43,0.25,0.04,0.75,0,136.4,0,0.71,0.33,0.58,147.99,0.01,11,148.74,,,,,,,,137.221,0.504,,0,,,,,0,,,,91.704,,,,,24955.957,,99.496,147.99,27076.481,,,,,,-13.171,-17.31,0,,,,,0,,0.477,,,,,129.903,,,,60.377,106.118,,,,,0.222,0.39,,27213.702,5465629,,27076.481,99.496,,,,,,0.007,,,,,1.83,,7.395,,,,,2012.577,
POL,Poland,2021,,,,,,,,,4.25,199.222,,,,,,736,71.139,,,,,3334.392,,,,178.58,7.53,126.03,147.66,16.49,2.26,0,5.14,0,7.53,29.5,3.91,15.8,177.16,,,,,,,,3906.659,83.348,,9.308,,,,,436.278,,,,1.276,,,,,59.793,,16.652,29.5,780.485,,,,,,0.795,1.42,0,,,,,0,,2.901,,,,,135.99,,,,0,199.222,,,,,0,4.25,,4687.144,37797000,,780.485,16.652,,,,,,2.207,,,,,103.447,,8.918,,,,,418.023,
PRT,Portugal,2021,,,,,,,,,7.969,385.526,,,,,,173,2.236,,,,,108.183,,,,53.86,3.92,1.1,18.36,15.8,11.48,0,1.46,0.22,4.14,30.83,2.04,13.17,49.19,,,,,,,,1805.679,37.325,,32.12,,,,,1553.906,,,,23.338,,,,,1129.041,,62.675,30.83,3032.084,,,,,,8.671,4.67,0,,,,,0,,2.968,,,,,143.589,,,,21.637,407.163,,,,,0.447,8.416,,4837.763,10167923,,3032.084,62.675,,,,,,4.147,,,,,200.631,,26.774,,,,,1295.25,
ROU,Romania,2021,,,,,,,,,1.107,33.982,,,,,,252,18.467,,,,,566.715,,,,60.8,0.65,10.84,21.71,10.16,17.04,11.09,0.71,0,0.65,25.9,1.7,6.51,58.7,,,,,,,,1134.999,36.985,,17.308,,,,,531.165,,,,29.029,,,,,890.851,,63.015,36.99,1933.837,,,,,,3.454,2.1,18.893,,,,,579.785,,1.21,,,,,37.119,,,,0,33.982,,,,,0,1.107,,3068.836,19127772,,1354.052,44.123,,,,,,2.896,,,,,88.876,,11.09,,,,,340.343,
SRB,Serbia,2021,,,,,,,,,0.75,32.193,,,,,,,64.148,,,,,2752.5,,,,37.92,0.28,23.94,25.05,0.67,11.08,0,0.44,0,0.28,12.27,0.01,0.9,37.32,,,,,,,,2880.122,67.122,,1.795,,,,,77.033,,,,29.689,,,,,1273.922,,32.878,12.27,1410.743,,,,,,1.582,0.6,0,,,,,0,,1.179,,,,,50.589,,,,0,32.193,,,,,0,0.75,,4290.865,8697547,,1410.743,32.878,,,,,,0.027,,,,,1.15,,2.412,,,,,103.477,
ESP,Spain,2021,,,,,,,,,2.498,145.469,,,,,,166,2.736,,,,,159.375,,,,273.15,6.8,7.45,89.92,68.29,30.64,56.61,14.18,0.02,6.82,125.74,26.02,62.26,272.27,,,,,,,,1923.619,33.026,,25.082,,,,,1460.898,,,,11.254,,,,,655.468,,66.974,182.35,3900.934,,,,,,0.322,0.88,20.792,,,,,1211.033,,5.208,,,,,303.347,,,,0.428,145.897,,,,,0.007,2.505,,5824.554,46745212,,2689.901,46.182,,,,,,9.557,,,,,556.635,,22.867,,,,,1331.901,
SWE,Sweden,2021,,,,,,,,,7.504,1278.523,,,,,,10,0.121,,,,,20.669,,,,147.45,12.99,0.21,3.35,0.29,75.66,53.42,2.85,0,12.99,116.34,0.68,27.01,173.11,,,,,,,,329.719,1.935,,0.168,,,,,28.543,,,,43.706,,,,,7446.734,,98.065,169.76,16708.4,,,,,,-17.403,-25.66,30.859,,,,,5257.792,,1.646,,,,,280.507,,,,0,1278.523,,,,,0,7.504,,17038.119,10160159,,11450.608,67.206,,,,,,0.393,,,,,66.928,,15.603,,,,,2658.423,
TUR,Turkey,2021,,,,,,,,,1.894,73.61,,,,,,,30.996,,,,,1204.571,,,,328.64,6.26,102.44,213.68,109.76,55.71,0,1.48,10.83,17.09,116.81,12.91,31.1,330.49,,,,,,,,2512.619,64.656,,33.211,,,,,1290.645,,,,16.857,,,,,655.082,,35.344,116.81,1373.545,,,,,,-0.563,-1.85,0,,,,,0,,0.448,,,,,17.403,,,,127.348,200.958,,,,,3.277,5.171,,3886.164,85042736,,1373.545,35.344,,,,,,3.906,,,,,151.806,,9.41,,,,,365.698,
GBR,United Kingdom,2021,,,,,,,,,12.799,573.254,,,,,,,1.957,,,,,87.674,,,,329.62,39.1,5.98,137.12,122.56,5.59,46.86,8.58,0,39.1,121.52,12.47,64.36,305.5,,,,,,,,2010.347,44.884,,40.118,,,,,1796.88,,,,1.83,,,,,81.956,,55.116,168.38,2468.657,,,,,,7.318,24.12,15.339,,,,,687.025,,2.809,,,,,125.793,,,,0,573.254,,,,,0,12.799,,4479.005,68207120,,1781.632,39.777,,,,,,4.082,,,,,182.825,,21.067,,,,,943.597,
