iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
BEL,Belgium,2019,,,,,,,3.106,22.318,5.66,453.233,0.324,0.731,0.017,5.42,469.694,174,0.097,0.148,4.88,0.053,36.158,7.799,3133.438,,,90.56,5.23,0.09,29.38,25.52,0.3,43.52,3.77,0,5.23,19.51,4.25,9.73,92.41,,64210.141,-3.352,78.201,-20.095,579.424,50212.968,2546.076,31.793,,27.616,3.019,23.461,5.094,173.835,2211.568,15064.583,,,0.325,-4.023,0.101,-0.031,0.748,25.998,64.806,68.207,63.03,5462.191,35.609,21.799,42.413,161.519,13997.225,-2.043,-1.85,47.094,51.635,14.546,36.699,107.774,3771.451,9339.709,4.08,-6.396,49.86,-25.243,369.431,326.709,32014.947,,,0,453.233,-4.556,1.752,-0.619,12.978,0,5.66,1124.642,8008.267,11539326,740.942,1690.74,21.112,11.894,7.254,5.713,53.745,4657.516,4.599,8.415,1.419,0.816,10.516,368.306,911.362,10.529,29.808,3.25,5.53,24.083,843.203,2087.012
BLZ,Belize,2019,,,,,,,-1.036,-0.038,31.203,363,,,,,,,0,,,,,0,,,,0.682,0.142,0,0.016,0,0.295,0,0.016,0,0.142,0.438,0.001,0,0.454,,9246.844,,,,,,41.843,3.597,,0,,,,,0,,,,64.966,,,,,755.781,,96.403,0.438,1121.502,,,,,,33.458,0.228,0,,,,,0,,3.597,,,,,41.843,,,,0,363,,,,,0,31.203,,1163.344,390351,3.61,1121.502,96.403,,,,,,0.234,,,,,2.721,,0,,,,,0,
BEN,Benin,2019,,,,,,,-10.338,-3.378,0.066,0.008,,,,,,,0,,,,,0,,,,1.525,0,0,0.145,0.097,0,0,0.048,0,0,0.005,0.005,0,0.15,,2482.909,,,,,,12.32,96.611,,64.673,,,,,8.247,,,,0,,,,,0,,3.389,0.005,0.432,,,,,,90.135,1.375,0,,,,,0,,31.938,,,,,4.073,,,,0,0.008,,,,,0,0.066,,12.752,11801151,29.301,0.432,3.389,,,,,,3.323,,,,,0.424,,0,,,,,0,
BMU,Bermuda,2019,,,,,,,-0.062,-0.002,0,0,,,,,,,0,,,,,0,,,,0.591,0,0,0.591,0,0,0,0.591,0,0,0,0,0,0.591,,51712.704,,,,,,9460.122,100,,0,,,,,0,,,,0,,,,,0,,0,0,0,,,,,,0,0,0,,,,,0,,100,,,,,9460.122,,,,0,0,,,,,0,0,,9460.122,62508,3.232,0,0,,,,,,0,,,,,0,,0,,,,,0,
BTN,Bhutan,2019,,,,,,,26.946,4.752,0,0,,,,,,,0,,,,,0,,,,2.546,0,0,0,0,6.608,0,0,0,0,6.61,0.001,0.001,6.61,,29338.077,,,,,,0.061,0.001,,0,,,,,0,,,,99.969,,,,,8659.92,,99.999,6.61,8662.541,,,,,,-159.599,-4.064,0,,,,,0,,0.001,,,,,0.061,,,,0,0,,,,,0,0,,8662.603,763094,22.388,8662.541,99.999,,,,,,0.015,,,,,1.31,,0.015,,,,,1.31,
BOL,Bolivia,2019,,,-12.243,-20.857,0,,-2.44,-2.287,2.762,23.365,,,,,,,0,,,,,0,,,,9.739,0.269,0,5.991,5.991,3.22,0,0,0,0.269,3.748,0.189,0.07,9.739,,7940.383,,,,,,520.331,61.511,,61.511,,,,,520.331,,149.503,12985.504,33.067,,,,,279.722,,38.489,3.748,325.583,,,,,,0,0,0,,,,,0,,0,,,,,0,,,,0,23.365,,,,,0,2.762,,845.914,11513102,91.418,325.583,38.489,,,,,,1.941,,,,,16.416,,0.719,,,,,6.08,
BIH,Bosnia and Herzegovina,2019,,,,,,,-5.052,-3.7,0.057,3.029,,,,,,,62.916,,,,,3320.208,,,,13.68,0.01,10.96,11.03,0.02,6.1,0,0.05,0,0.01,6.39,0.03,0.25,17.42,,21068.464,,,,,,3341.414,63.318,,0.115,,,,,6.059,,,,35.017,,,,,1847.926,,36.682,6.39,1935.778,,,,,,-27.339,-3.74,0,,,,,0,,0.287,,,,,15.147,,,,0,3.029,,,,,0,0.057,,5277.192,3300998,69.547,1935.778,36.682,,,,,,0.172,,,,,9.088,,1.435,,,,,75.735,
BWA,Botswana,2019,,,,,,,-0.67,-0.155,0,0,,,,,,,99.835,,,,,1312.525,,,,3.659,0,3.024,3.024,0,0,0,0,0,0,0.005,0.005,0,3.029,,9992.323,,,,,,1312.525,99.835,,0,,,,,0,,,,0,,,,,0,,0.165,0.005,2.17,,,,,,17.234,0.631,0,,,,,0,,0,,,,,0,,,,0,0,,,,,0,0,,1314.695,2303703,23.019,2.17,0.165,,,,,,0.165,,,,,2.17,,0,,,,,0,
BRA,Brazil,2019,-8.395,-2.304,2.322,5.842,7.525,122.71,2.512,84.562,8.859,258.3,11.062,7.552,25.954,260.582,1234.697,,4.027,-5.711,5.218,-10.904,180.034,117.421,853.044,25.144,119.139,640.309,54.514,24.782,89.076,56.701,393.898,15.224,7.593,0,54.514,511.053,6.655,55.986,615.353,,16348.695,0.659,54.299,12.272,1873.529,8877.2,422.063,14.476,,9.214,-0.439,10.356,-1.574,357.333,268.664,1693.128,257.465,1219.928,64.012,1.912,28.554,18.489,985.231,1866.377,4668.243,85.524,526.277,2493.619,4.805,45.701,72.29,1576.858,7471.508,3.897,24.956,2.474,2.523,1.158,0.983,39.938,72.135,189.238,1.234,1.887,38.725,24.751,1336.16,35.978,6331.029,1753.507,8308.508,0,258.3,0.618,3.941,0.835,135.996,0,8.859,644.38,2915.682,211049520,3450.384,2421.484,83.05,4.865,44.543,71.307,1536.92,7282.27,1.081,91.54,0.478,7.875,16.478,31.533,78.077,9.098,15.068,4.018,18.153,138.633,265.274,656.873
VGB,British Virgin Islands,2019,,,,,,,-20.094,-0.177,0,0,,,,,,,0,,,,,0,,,,0.07,0,0,0.068,0,0,0,0.068,0,0,0.002,0,0.001,0.07,,23485.607,,,,,,2264.176,97.76,,0,,,,,0,,,,0,,,,,0,,2.24,0.002,51.876,,,,,,0,0,0,,,,,0,,97.76,,,,,2264.176,,,,0,0,,,,,0,0,,2316.052,30033,0.705,51.876,2.24,,,,,,0.443,,,,,10.255,,1.797,,,,,41.621,
BRN,Brunei,2019,,,3.302,4.149,9.025,5.681,-1.316,-0.703,0,0,,,,,,,0,,,,,0,,,,4.066,0,0,4.064,4.064,0,0,0,0,0,0.002,0.002,0,4.066,,121637.248,,,,,,9379.116,99.951,,99.951,,,,,9379.116,,129.801,299567.41,0,,,,,0,,0.049,0.002,4.616,,,,,,0,0,0,,,,,0,,0,,,,,0,,68.63,158389.699,0,0,,,,,0,0,,9383.732,433296,52.705,4.616,0.049,,,,,,0.049,,,,,4.616,,0,,,,,0,
